Date,Ticker,Action,Shares,Price,Realized PnL
2023-04-27,DELL,Buy,123.16766325827955,40.59507071685791,-5.0
2023-04-27,APA,Buy,157.0372881552159,31.839571726799004,-5.0
2023-04-27,LRCX,Buy,99.13818136742927,50.43465525627136,-5.0
2023-04-27,GLW,Buy,164.78189022576666,30.34314021492004,-5.0
2023-04-27,LITE,Buy,103.19019652868394,48.45421530532837,-5.0
2023-04-27,SLB,Buy,112.46707539549676,44.45745550346375,-5.0
2023-04-27,ALB,Buy,28.110851501904232,177.8672552719116,-5.0
2023-04-27,STX,Buy,95.2947507792136,52.46878720092773,-5.0
2023-04-27,DOW,Buy,111.6027608571316,44.80175903892517,-5.0
2023-04-27,WDC,Buy,202.69331516036647,24.667809079170226,-5.0
2023-04-27,BKR,Buy,185.57693468401737,26.943003496170043,-5.0
2023-04-27,KEYS,Buy,35.2209547598314,141.96094438934324,-5.0
2023-04-27,INTC,Buy,171.47510063076697,29.158752388000483,-5.0
2023-04-27,OXY,Buy,86.85639322621633,57.56628630638122,-5.0
2023-04-27,LYB,Buy,67.00381900354212,74.62261217880248,-5.0
2023-04-27,MU,Buy,81.7783606409309,61.14086857223511,-5.0
2023-04-27,AMAT,Buy,45.92123837886585,108.88208106994628,-5.0
2023-04-27,AMD,Buy,57.15348936231046,87.48372244262694,-5.0
2023-04-27,COHR,Buy,149.26825919070785,33.49673954200745,-5.0
2023-04-28,LYB,Sell (TP),22.111260271168902,77.23378657913209,56.02862042232212
2023-04-28,STX,Sell (TP),31.44726775714049,54.234309556961065,53.815333407136464
2023-04-28,MRNA,Buy,37.60630049159739,132.95644438934326,-5.0
2023-04-28,SLB,Sell (TP),37.11413488051394,45.700214328765874,44.42779474754594
2023-04-28,WDC,Sell (TP),66.88879400292093,25.90690281581879,81.1486042152943
2023-04-28,WDC,Sell (TP),66.88879400292093,25.90690281581879,81.1486042152943
2023-04-28,APA,Sell (TP),51.822305091221246,32.86920018386841,51.65436231282116
2023-04-28,INTC,Sell (TP),56.5867832081531,30.300254815101624,62.87935642357891
2023-04-28,AMD,Sell (TP),18.860651489562454,89.32531774520875,33.04895349962399
2023-04-28,MU,Sell (TP),26.9868590115072,63.50715570831299,62.144798664755
2023-05-01,MU,Sell (Trailing Stop),54.7915016294237,61.523795772552496,17.610175163820777
2023-05-01,DELL,Sell (TP),40.64532887523225,41.5209847984314,35.946448273407285
2023-05-01,ALB,Sell (Trailing Stop),28.110851501904232,169.34951750183106,-244.20142072530817
2023-05-01,ON,Buy,63.80060171776997,78.3691668319702,-5.0
2023-05-02,APA,Sell (Trailing Stop),105.21498306399465,30.648189052581788,-128.57595658261056
2023-05-02,SLB,Sell (Trailing Stop),75.35294051498283,42.7646596775055,-130.77958603426578
