Date,Close,High,Low,Open,Volume,EMA_Short,EMA_Long,Signal,Signal_Type
2023-05-01,58.09788131713867,58.77222601888072,57.70847273142636,57.91742491701797,7337700,58.09788131713867,58.09788131713867,0,Hold
2023-05-02,57.02463150024414,57.50901634214465,56.1128461371885,57.50901634214465,12442900,57.995667048863,58.055793089025165,-1,Sell
2023-05-03,56.00837326049805,57.0816190913045,55.979877475379816,56.274309767513714,11639200,57.80640097378062,57.97550211535744,0,Hold
2023-05-04,55.75192642211914,56.83467192922087,55.35301808506902,56.07485083854534,11202000,57.61073673076524,57.888303068563786,0,Hold
2023-05-05,57.64198684692383,58.012403061849554,56.74919743016744,57.10061403994952,11276000,57.61371293230415,57.87864360889163,0,Hold
2023-05-08,55.99887466430664,58.07888949020801,55.970382501687695,57.57550500422264,17632100,57.45991881154249,57.80492717969222,0,Hold
2023-05-09,55.99887466430664,56.6542233894485,55.63796186075577,55.70444598894216,13373200,57.32077174990098,57.73410159085358,0,Hold
2023-05-10,53.99484252929688,55.93238925137219,53.63392973403605,55.34352829105591,21378600,57.00401658603392,57.587463980596446,0,Hold
2023-05-11,55.02060317993164,55.08708730579648,53.48196485931038,53.56744496729562,14178100,56.81512007116704,57.486802772727245,0,Hold
2023-05-12,55.17256546020508,55.45749793569582,54.84014484265138,55.163069281037686,9463700,56.65868629869447,57.39604836831461,0,Hold
2023-05-15,55.580963134765625,55.922883512344654,55.2390427571866,55.4669908832768,9155600,56.55604599736792,57.32486855523426,0,Hold
2023-05-16,55.22005844116211,55.91339552075432,55.09658636248825,55.8184192283057,10516000,56.42880908725308,57.2423269821334,0,Hold
2023-05-17,55.96087646484375,56.19832078851965,55.25804329570626,55.75192792372569,9549100,56.38424407559505,57.192074020671065,0,Hold
2023-05-18,55.32452774047852,55.8943926713928,54.86863507112452,55.86590051178095,11296800,56.28331871034586,57.1188369116439,0,Hold
2023-05-19,56.16033935546875,57.20509305885487,56.00837511455598,56.093855226514,16016600,56.27160639083375,57.08124877218606,0,Hold
2023-05-22,56.07485580444336,56.54024467858437,55.76142753878209,56.13184012684499,9445200,56.252868239748956,57.04178238129419,0,Hold
2023-05-23,56.68271255493164,57.28107330008363,56.27430800445951,56.65422039381924,9639200,56.29380579357588,57.027701211632916,0,Hold
2023-05-24,56.40727996826172,57.3190654150311,56.15083963202408,57.14810519087268,10665800,56.30461285783167,57.00337096679483,0,Hold
2023-05-25,55.85641098022461,56.13184367651417,55.343530307497886,55.66645477294286,10362900,56.261926964726236,56.958392143792075,0,Hold
2023-05-26,55.97987365722656,56.25530994819967,55.61896088606828,56.15083386382277,9946000,56.23506474496436,56.92001886980911,0,Hold
2023-05-30,55.64745330810547,55.84690567570238,54.99210826181007,55.19156062940698,12529400,56.1791017509778,56.870114337977604,0,Hold
2023-05-31,54.76416015625,55.57146942944669,54.63119191107529,55.41950520308804,15280300,56.044345408622775,56.787527899478484,0,Hold
2023-06-01,55.20105743408203,56.08435064129437,54.64068866416359,54.79265289211878,10189800,55.96403226819032,56.725313371423724,0,Hold
2023-06-02,56.69221115112305,56.97714726684654,55.76142974293575,56.0558620383972,14473200,56.03338263799344,56.72401524513742,0,Hold
2023-06-05,56.416778564453125,57.73696856034657,56.4072787615846,57.73696856034657,8796500,56.069896535751504,56.71196674785569,0,Hold
2023-06-06,56.45476150512695,56.597229549618014,55.55247596705979,55.72343254809105,8616500,56.10655034235869,56.701880267748685,0,Hold
